Ränta (rate),Bank,Bindningstid (loan duration),Postnummer (ZIP),Hur stort är ditt bolån (amount),När band du lånet (start date),,
"4,75",Swedbank,3 månader,36 265,,,,
"4,75",SBAB,3 månader,42 244,,,,
"4,75",Länsförsäkringar,Rörlig,43 346,"1,3mkr",4/3/2012,,
"4,75",Swedbank,3 år,57341,700000,2009,,
"4,75",SEB,3 månader,58 235,"2,5 mkr",mars 2011,,
"4,75",Handelsbanken,Rörlig,59 053,385000,0,,
"4,75",Swedbank,Rörlig,72 291,"1,8 mkr",6/1/2011,,
"4,75",Nordea,Rörlig,74 951,,,,
"4,75",Handelsbanken,3 månader,75 109,"4,75 mkr",Feb-12,,
"4,75",Handelsbanken,Rörlig,75 643,170000,2005,,
"4,75",Swedbank,5 år,81832,349000,3/26/2011,,
"4,75",Handelsbanken,3 år,97633,"0,75 mkr",3/5/2010,,
"4,75",Handelsbanken,Rörlig,15134,"0""",35.000:-,-------------,
"4,75",Handelsbanken,Rörlig,19630,"0""",313 kkr,Jan-12,
"4,74",Swedbank,3 månader,11 253,,,,
"4,74",Swedbank,3 månader,11 253,,,,
"4,74",Länsförsäkringar,3 månader,46 130,640000,2010,,
"4,74",Länsförsäkringar,3 månader,72 243,,,,
"4,73",Nordea,3 månader,43 894,"2,5",2012/02/30,,
"4,73",Swedbank,5 år,46632,450000,2006,,
"4,73",Swedbank,5 år,46632,450000,2006,,
"4,72",Nordea,5 år,11830,600000,okt 2008,,
"4,72",SBAB,3 månader,12 648,,,,
"4,72",SBAB,3 månader,37 239,"1,3 mkr",1/17/2012,,
"4,72",Handelsbanken,3 år,75260,400000,100701,,
"4,72",Handelsbanken,3 år,77134,150000,Mars 2011,,
"4,7",SBAB,3 månader,11 761,,,,
"4,7",Handelsbanken,3 månader,12 133,"1,365",2007,,
"4,7",Handelsbanken,3 månader,12 133,"1,365",2007,,
"4,7",Swedbank,3 år,13440,,,,
"4,7",Handelsbanken,7 år,14241,151000,90101,,
"4,7",Handelsbanken,Rörlig,14 654,,,,
"4,7",Swedbank,1 år,16962,1900000,9/1/2011,,
"4,7",Handelsbanken,Rörlig,17 272,2900000,3/3/2012,,
"4,7",SEB,5 år,17835,900000,20070528,,
"4,7",Handelsbanken,2 år,18352,,,,
"4,7",Swedbank,7 år,18776,"2,2 mkr",9/1/2011,,
